sec_id,ticker,name,query_term,entity_name,file_date,headline,source_url,form_type,event_text,event_type
34926,C,Citigroup Inc,C,Citigroup Inc,2026-02-19,Howard Hughes Holdings Inc.  (HHH)  (CIK 0001981792),https://efts.sec.gov/LATEST/search-index?q=%22C%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, Howard Hughes Holdings Inc.  (HHH)  (CIK 0001981792)  2.02 7.01 9.01,other
34926,C,Citigroup Inc,C,Citigroup Inc,2026-02-19,MATTHEWS INTERNATIONAL CORP  (MATW)  (CIK 0000063296),https://efts.sec.gov/LATEST/search-index?q=%22C%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, MATTHEWS INTERNATIONAL CORP  (MATW)  (CIK 0000063296)  5.02 5.03 5.07 7.01 9.01,other
34926,C,Citigroup Inc,C,Citigroup Inc,2026-02-19,PINNACLE WEST CAPITAL CORP  (PNW)  (CIK 0000764622) ARIZONA PUBLIC SERVICE CO  (CIK 0000007286),https://efts.sec.gov/LATEST/search-index?q=%22C%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, PINNACLE WEST CAPITAL CORP  (PNW)  (CIK 0000764622) ARIZONA PUBLIC SERVICE CO  (CIK 0000007286)  1.01 2.03 5.02 9.01,other
34926,C,Citigroup Inc,C,Citigroup Inc,2026-02-19,WORLD OMNI AUTO RECEIVABLES LLC  (CIK 0001083199) World Omni Auto Receivables Trust 2026-A  (CIK 0002104367),https://efts.sec.gov/LATEST/search-index?q=%22C%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, WORLD OMNI AUTO RECEIVABLES LLC  (CIK 0001083199) World Omni Auto Receivables Trust 2026-A  (CIK 0002104367)  8.01 9.01,other
34926,C,Citigroup Inc,C,Citigroup Inc,2026-02-19,Wells Fargo Commercial Mortgage Trust 2026-5C8  (CIK 0002107796),https://efts.sec.gov/LATEST/search-index?q=%22C%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, Wells Fargo Commercial Mortgage Trust 2026-5C8  (CIK 0002107796)  8.01 9.01,other
35701,DE,Deere & Co.,DE,Deere & Co.,2026-02-19,"BIO-RAD LABORATORIES, INC.  (BIO, BIO-B)  (CIK 0000012208)",https://efts.sec.gov/LATEST/search-index?q=%22DE%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," BIO-RAD LABORATORIES, INC.  (BIO, BIO-B)  (CIK 0000012208)  7.01",other
35701,DE,Deere & Co.,DE,Deere & Co.,2026-02-19,CHOICE HOTELS INTERNATIONAL INC /DE  (CHH)  (CIK 0001046311),https://efts.sec.gov/LATEST/search-index?q=%22DE%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, CHOICE HOTELS INTERNATIONAL INC /DE  (CHH)  (CIK 0001046311)  2.02 9.01,other
35701,DE,Deere & Co.,DE,Deere & Co.,2026-02-19,Cardinal Infrastructure Group Inc.  (CDNL)  (CIK 0002079999),https://efts.sec.gov/LATEST/search-index?q=%22DE%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, Cardinal Infrastructure Group Inc.  (CDNL)  (CIK 0002079999)  1.01 2.01 2.02 2.03 3.02 5.02 7.01 9.01,other
35701,DE,Deere & Co.,DE,Deere & Co.,2026-02-19,DEERE & CO  (DE)  (CIK 0000315189),https://efts.sec.gov/LATEST/search-index?q=%22DE%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, DEERE & CO  (DE)  (CIK 0000315189)  2.02 7.01 9.01,other
35701,DE,Deere & Co.,DE,Deere & Co.,2026-02-19,ICU MEDICAL INC/DE  (ICUI)  (CIK 0000883984),https://efts.sec.gov/LATEST/search-index?q=%22DE%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, ICU MEDICAL INC/DE  (ICUI)  (CIK 0000883984)  2.02 9.01,other
